Wavelength [nm], absorption
517.60176, 0.82137903
517.62676, 0.82123889
517.65177, 0.82115850
517.67677, 0.82113739
517.70177, 0.82117463
517.72677, 0.82126888
517.75178, 0.82141839
517.77678, 0.82162100
517.80178, 0.82187422
517.82678, 0.82217522
517.85179, 0.82252086
517.87679, 0.82290772
517.90179, 0.82333216
517.92679, 0.82379034
517.95180, 0.82427822
517.97680, 0.82479165
518.00180, 0.82532639
518.02680, 0.82587811
518.05181, 0.82644249
518.07681, 0.82701516
518.10181, 0.82759184
518.12681, 0.82816828
518.15182, 0.82874033
518.17682, 0.82930397
518.20182, 0.82985530
518.22682, 0.83039061
518.25183, 0.83090635
518.27683, 0.83139919
518.30183, 0.83186600
518.32683, 0.83230389
518.35184, 0.83271021
518.37684, 0.83308256
518.40184, 0.83341879
518.42684, 0.83371702
518.45185, 0.83397565
518.47685, 0.83419333
518.50185, 0.83436900
518.52685, 0.83450187
518.55186, 0.83459143
518.57686, 0.83463744
518.60186, 0.83463995
518.62686, 0.83459926
518.65187, 0.83451595
518.67687, 0.83439088
518.70187, 0.83422513
518.72687, 0.83402009
518.75188, 0.83377737
518.77688, 0.83349882
518.80188, 0.83318654
518.82688, 0.83284287
518.85189, 0.83247034
518.87689, 0.83207170
518.90189, 0.83164991
518.92689, 0.83120810
518.95190, 0.83074955
518.97690, 0.83027771
519.00190, 0.82979616
519.02690, 0.82930856
519.05191, 0.82881868
519.07691, 0.82833034
519.10191, 0.82784738
519.12691, 0.82737366
519.15192, 0.82691299
519.17692, 0.82646912
519.20192, 0.82604572
519.22692, 0.82564631
519.25193, 0.82527424
519.27693, 0.82493268
519.30193, 0.82462455
519.32693, 0.82435248
519.35194, 0.82411882
519.37694, 0.82392558
519.40194, 0.82377440
519.42694, 0.82366653
519.45195, 0.82360283
519.47695, 0.82358371
519.50195, 0.82360916
519.52695, 0.82367871
519.55196, 0.82379145
519.57696, 0.82394602
519.60196, 0.82414064
519.62696, 0.82437308
519.65197, 0.82464072
519.67697, 0.82494057
519.70197, 0.82526927
519.72697, 0.82562315
519.75198, 0.82599826
519.77698, 0.82639040
519.80198, 0.82679518
519.82698, 0.82720803
519.85199, 0.82762429
519.87699, 0.82803922
519.90199, 0.82844806
519.92699, 0.82884607
519.95200, 0.82922857
519.97700, 0.82959102
520.00200, 0.82992897
520.02700, 0.83023822
520.05201, 0.83051474
520.07701, 0.83075479
520.10201, 0.83095488
520.12701, 0.83111187
520.15202, 0.83122293
520.17702, 0.83128559
520.20202, 0.83129777
520.22702, 0.83125776
