wavelength [nm], relative absorbance
505.91059, 0.92622492
505.92559, 0.92598742
505.94059, 0.92577207
505.95560, 0.92557917
505.97060, 0.92540902
505.98560, 0.92526183
506.00060, 0.92513778
506.01560, 0.92503702
506.03060, 0.92495961
506.04560, 0.92490559
506.06061, 0.92487493
506.07561, 0.92486758
506.09061, 0.92488339
506.10561, 0.92492220
506.12061, 0.92498378
506.13561, 0.92506785
506.15062, 0.92517408
506.16562, 0.92530208
506.18062, 0.92545142
506.19562, 0.92562162
506.21062, 0.92581215
506.22562, 0.92602243
506.24062, 0.92625183
506.25563, 0.92649968
506.27063, 0.92676525
506.28563, 0.92704781
506.30063, 0.92734653
506.31563, 0.92766058
506.33063, 0.92798909
506.34563, 0.92833114
506.36064, 0.92868577
506.37564, 0.92905202
506.39064, 0.92942888
506.40564, 0.92981530
506.42064, 0.93021023
506.43564, 0.93061260
506.45065, 0.93102129
506.46565, 0.93143519
506.48065, 0.93185318
506.49565, 0.93227410
506.51065, 0.93269681
506.52565, 0.93312015
506.54065, 0.93354296
506.55566, 0.93396409
506.57066, 0.93438237
506.58566, 0.93479665
506.60066, 0.93520580
506.61566, 0.93560868
506.63066, 0.93600418
506.64566, 0.93639119
506.66067, 0.93676864
506.67567, 0.93713546
506.69067, 0.93749062
506.70567, 0.93783313
506.72067, 0.93816199
506.73567, 0.93847627
506.75068, 0.93877505
506.76568, 0.93905747
506.78068, 0.93932268
506.79568, 0.93956990
506.81068, 0.93979837
506.82568, 0.94000738
506.84068, 0.94019628
506.85569, 0.94036444
506.87069, 0.94051130
506.88569, 0.94063635
506.90069, 0.94073912
506.91569, 0.94081920
506.93069, 0.94087623
506.94569, 0.94090990
506.96070, 0.94091995
506.97570, 0.94090620
506.99070, 0.94086848
507.00570, 0.94080673
507.02070, 0.94072089
507.03570, 0.94061099
507.05071, 0.94047710
507.06571, 0.94031935
507.08071, 0.94013792
507.09571, 0.93993304
507.11071, 0.93970498
507.12571, 0.93945410
507.14071, 0.93918075
507.15572, 0.93888539
507.17072, 0.93856847
507.18572, 0.93823053
507.20072, 0.93787213
507.21572, 0.93749386
507.23072, 0.93709638
507.24572, 0.93668038
507.26073, 0.93624656
507.27573, 0.93579568
507.29073, 0.93532853
507.30573, 0.93484593
507.32073, 0.93434871
507.33573, 0.93383774
507.35074, 0.93331392
507.36574, 0.93277815
507.38074, 0.93223136
507.39574, 0.93167451
507.41074, 0.93110854
507.42574, 0.93053444
507.44074, 0.92995317
507.45575, 0.92936573
507.47075, 0.92877311
507.48575, 0.92817629
507.50075, 0.92757628
507.51575, 0.92697405
507.53075, 0.92637060
507.54575, 0.92576690
507.56076, 0.92516392
507.57576, 0.92456262
507.59076, 0.92396395
507.60576, 0.92336883
507.62076, 0.92277817
507.63576, 0.92219288
507.65077, 0.92161383
507.66577, 0.92104186
507.68077, 0.92047782
507.69577, 0.91992250
507.71077, 0.91937669
507.72577, 0.91884113
507.74077, 0.91831656
507.75578, 0.91780366
507.77078, 0.91730310
507.78578, 0.91681552
507.80078, 0.91634151
507.81578, 0.91588165
507.83078, 0.91543648
507.84578, 0.91500648
507.86079, 0.91459215
507.87579, 0.91419389
507.89079, 0.91381213
507.90579, 0.91344722
507.92079, 0.91309950
507.93579, 0.91276926
507.95080, 0.91245676
507.96580, 0.91216224
507.98080, 0.91188588
507.99580, 0.91162785
508.01080, 0.91138827
508.02580, 0.91116725
508.04080, 0.91096483
508.05581, 0.91078106
508.07081, 0.91061593
508.08581, 0.91046941
508.10081, 0.91034145
508.11581, 0.91023195
508.13081, 0.91014079
508.14581, 0.91006784
508.16082, 0.91001291
508.17582, 0.90997582
508.19082, 0.90995635
508.20582, 0.90995424
508.22082, 0.90996923
508.23582, 0.91000102
508.25083, 0.91004931
508.26583, 0.91011377
508.28083, 0.91019404
508.29583, 0.91028975
508.31083, 0.91040052
508.32583, 0.91052594
508.34083, 0.91066558
508.35584, 0.91081903
508.37084, 0.91098581
508.38584, 0.91116548
508.40084, 0.91135755
508.41584, 0.91156153
508.43084, 0.91177694
508.44584, 0.91200325
508.46085, 0.91223996
508.47585, 0.91248652
508.49085, 0.91274241
508.50585, 0.91300708
508.52085, 0.91327998
508.53585, 0.91356056
508.55086, 0.91384824
508.56586, 0.91414247
508.58086, 0.91444267
508.59586, 0.91474825
508.61086, 0.91505865
508.62586, 0.91537327
508.64086, 0.91569153
508.65587, 0.91601285
508.67087, 0.91633662
508.68587, 0.91666226
508.70087, 0.91698918
508.71587, 0.91731678
508.73087, 0.91764447
508.74587, 0.91797166
508.76088, 0.91829776
508.77588, 0.91862218
508.79088, 0.91894433
508.80588, 0.91926363
508.82088, 0.91957949
508.83588, 0.91989134
508.85089, 0.92019860
508.86589, 0.92050071
508.88089, 0.92079709
508.89589, 0.92108720
508.91089, 0.92137047
508.92589, 0.92164636
508.94089, 0.92191433
508.95590, 0.92217384
508.97090, 0.92242439
508.98590, 0.92266545
509.00090, 0.92289651
509.01590, 0.92311709
509.03090, 0.92332671
509.04590, 0.92352489
509.06091, 0.92371117
509.07591, 0.92388511
509.09091, 0.92404629
509.10591, 0.92419428
509.12091, 0.92432868
509.13591, 0.92444912
509.15092, 0.92455522
509.16592, 0.92464664
509.18092, 0.92472305
509.19592, 0.92478414
509.21092, 0.92482961
509.22592, 0.92485921
509.24092, 0.92487267
509.25593, 0.92486979
509.27093, 0.92485035
509.28593, 0.92481419
509.30093, 0.92476115
509.31593, 0.92469110
509.33093, 0.92460394
509.34593, 0.92449961
509.36094, 0.92437805
509.37594, 0.92423925
509.39094, 0.92408321
509.40594, 0.92390999
509.42094, 0.92371964
509.43594, 0.92351226
509.45095, 0.92328800
509.46595, 0.92304699
509.48095, 0.92278945
509.49595, 0.92251557
509.51095, 0.92222563
509.52595, 0.92191990
509.54095, 0.92159869
509.55596, 0.92126235
509.57096, 0.92091126
509.58596, 0.92054582
509.60096, 0.92016647
509.61596, 0.91977367
509.63096, 0.91936793
509.64596, 0.91894976
509.66097, 0.91851972
509.67597, 0.91807839
509.69097, 0.91762637
509.70597, 0.91716431
509.72097, 0.91669285
509.73597, 0.91621268
509.75098, 0.91572452
509.76598, 0.91522908
509.78098, 0.91472711
509.79598, 0.91421939
509.81098, 0.91370669
509.82598, 0.91318983
509.84098, 0.91266963
509.85599, 0.91214691
509.87099, 0.91162252
509.88599, 0.91109731
509.90099, 0.91057216
