wavelength [nm], relative absorbance
505.68557, 0.56379366
505.70057, 0.56371442
505.71557, 0.56363570
505.73057, 0.56355764
505.74557, 0.56348035
505.76058, 0.56340395
505.77558, 0.56332858
505.79058, 0.56325434
505.80558, 0.56318135
505.82058, 0.56310970
505.83558, 0.56303952
505.85059, 0.56297088
505.86559, 0.56290389
505.88059, 0.56283862
505.89559, 0.56277515
505.91059, 0.56271354
505.92559, 0.56265386
505.94059, 0.56259615
505.95560, 0.56254046
505.97060, 0.56248682
505.98560, 0.56243525
506.00060, 0.56238577
506.01560, 0.56233837
506.03060, 0.56229305
506.04560, 0.56224979
506.06061, 0.56220857
506.07561, 0.56216935
506.09061, 0.56213208
506.10561, 0.56209671
506.12061, 0.56206318
506.13561, 0.56203140
506.15062, 0.56200130
506.16562, 0.56197278
506.18062, 0.56194575
506.19562, 0.56192009
506.21062, 0.56189570
506.22562, 0.56187246
506.24062, 0.56185023
506.25563, 0.56182888
506.27063, 0.56180829
506.28563, 0.56178830
506.30063, 0.56176878
506.31563, 0.56174958
506.33063, 0.56173054
506.34563, 0.56171153
506.36064, 0.56169239
506.37564, 0.56167296
506.39064, 0.56165311
506.40564, 0.56163268
506.42064, 0.56161154
506.43564, 0.56158953
506.45065, 0.56156652
506.46565, 0.56154237
506.48065, 0.56151697
506.49565, 0.56149019
506.51065, 0.56146191
506.52565, 0.56143204
506.54065, 0.56140046
506.55566, 0.56136709
506.57066, 0.56133184
506.58566, 0.56129465
506.60066, 0.56125545
506.61566, 0.56121419
506.63066, 0.56117083
506.64566, 0.56112533
506.66067, 0.56107768
506.67567, 0.56102787
506.69067, 0.56097590
506.70567, 0.56092177
506.72067, 0.56086553
506.73567, 0.56080720
506.75068, 0.56074684
506.76568, 0.56068449
506.78068, 0.56062024
506.79568, 0.56055415
506.81068, 0.56048633
506.82568, 0.56041686
506.84068, 0.56034586
506.85569, 0.56027345
506.87069, 0.56019975
506.88569, 0.56012490
506.90069, 0.56004904
506.91569, 0.55997231
506.93069, 0.55989487
506.94569, 0.55981688
506.96070, 0.55973850
506.97570, 0.55965990
506.99070, 0.55958124
507.00570, 0.55950270
507.02070, 0.55942444
507.03570, 0.55934665
507.05071, 0.55926949
507.06571, 0.55919313
507.08071, 0.55911775
507.09571, 0.55904350
507.11071, 0.55897054
507.12571, 0.55889904
507.14071, 0.55882914
507.15572, 0.55876099
507.17072, 0.55869473
507.18572, 0.55863048
507.20072, 0.55856836
507.21572, 0.55850849
507.23072, 0.55845096
507.24572, 0.55839588
507.26073, 0.55834332
507.27573, 0.55829335
507.29073, 0.55824603
507.30573, 0.55820140
507.32073, 0.55815950
507.33573, 0.55812035
507.35074, 0.55808396
507.36574, 0.55805032
507.38074, 0.55801942
507.39574, 0.55799122
507.41074, 0.55796569
507.42574, 0.55794276
507.44074, 0.55792237
507.45575, 0.55790444
507.47075, 0.55788887
507.48575, 0.55787557
507.50075, 0.55786441
507.51575, 0.55785528
507.53075, 0.55784803
507.54575, 0.55784251
507.56076, 0.55783859
507.57576, 0.55783608
507.59076, 0.55783483
507.60576, 0.55783466
507.62076, 0.55783538
507.63576, 0.55783680
507.65077, 0.55783875
507.66577, 0.55784101
507.68077, 0.55784340
507.69577, 0.55784571
507.71077, 0.55784775
507.72577, 0.55784932
507.74077, 0.55785022
507.75578, 0.55785025
507.77078, 0.55784923
507.78578, 0.55784697
507.80078, 0.55784329
507.81578, 0.55783801
507.83078, 0.55783095
507.84578, 0.55782197
507.86079, 0.55781091
507.87579, 0.55779762
507.89079, 0.55778197
507.90579, 0.55776384
507.92079, 0.55774312
507.93579, 0.55771971
507.95080, 0.55769352
507.96580, 0.55766447
507.98080, 0.55763252
507.99580, 0.55759760
508.01080, 0.55755970
508.02580, 0.55751878
508.04080, 0.55747485
508.05581, 0.55742792
508.07081, 0.55737800
508.08581, 0.55732515
508.10081, 0.55726941
508.11581, 0.55721085
508.13081, 0.55714956
508.14581, 0.55708562
508.16082, 0.55701915
508.17582, 0.55695026
508.19082, 0.55687910
508.20582, 0.55680580
508.22082, 0.55673051
508.23582, 0.55665342
508.25083, 0.55657468
508.26583, 0.55649449
508.28083, 0.55641304
508.29583, 0.55633052
508.31083, 0.55624714
508.32583, 0.55616312
508.34083, 0.55607866
508.35584, 0.55599398
508.37084, 0.55590931
508.38584, 0.55582487
508.40084, 0.55574087
508.41584, 0.55565754
508.43084, 0.55557509
508.44584, 0.55549375
508.46085, 0.55541373
508.47585, 0.55533522
508.49085, 0.55525844
508.50585, 0.55518357
508.52085, 0.55511081
508.53585, 0.55504033
508.55086, 0.55497230
508.56586, 0.55490688
508.58086, 0.55484421
508.59586, 0.55478442
508.61086, 0.55472765
508.62586, 0.55467400
508.64086, 0.55462356
508.65587, 0.55457642
508.67087, 0.55453264
508.68587, 0.55449227
508.70087, 0.55445535
508.71587, 0.55442191
508.73087, 0.55439194
508.74587, 0.55436543
508.76088, 0.55434236
508.77588, 0.55432269
508.79088, 0.55430636
508.80588, 0.55429329
508.82088, 0.55428340
508.83588, 0.55427658
508.85089, 0.55427272
508.86589, 0.55427169
508.88089, 0.55427335
508.89589, 0.55427753
508.91089, 0.55428406
508.92589, 0.55429278
508.94089, 0.55430349
508.95590, 0.55431598
508.97090, 0.55433006
508.98590, 0.55434550
509.00090, 0.55436208
509.01590, 0.55437958
509.03090, 0.55439776
509.04590, 0.55441638
509.06091, 0.55443520
509.07591, 0.55445398
509.09091, 0.55447248
509.10591, 0.55449046
509.12091, 0.55450767
509.13591, 0.55452389
509.15092, 0.55453886
509.16592, 0.55455238
509.18092, 0.55456421
509.19592, 0.55457413
509.21092, 0.55458194
509.22592, 0.55458745
509.24092, 0.55459045
509.25593, 0.55459077
509.27093, 0.55458824
509.28593, 0.55458271
509.30093, 0.55457403
509.31593, 0.55456207
509.33093, 0.55454672
509.34593, 0.55452788
509.36094, 0.55450546
509.37594, 0.55447939
509.39094, 0.55444961
509.40594, 0.55441610
509.42094, 0.55437882
509.43594, 0.55433777
509.45095, 0.55429297
509.46595, 0.55424443
509.48095, 0.55419221
509.49595, 0.55413636
509.51095, 0.55407696
509.52595, 0.55401411
509.54095, 0.55394790
509.55596, 0.55387846
509.57096, 0.55380593
509.58596, 0.55373046
509.60096, 0.55365221
509.61596, 0.55357135
509.63096, 0.55348808
509.64596, 0.55340258
509.66097, 0.55331508
509.67597, 0.55322578
509.69097, 0.55313492
509.70597, 0.55304272
509.72097, 0.55294942
509.73597, 0.55285527
509.75098, 0.55276052
509.76598, 0.55266542
509.78098, 0.55257022
509.79598, 0.55247517
509.81098, 0.55238054
509.82598, 0.55228657
509.84098, 0.55219352
509.85599, 0.55210163
509.87099, 0.55201114
509.88599, 0.55192230
509.90099, 0.55183534
509.91599, 0.55175047
509.93099, 0.55166791
509.94599, 0.55158788
509.96100, 0.55151056
509.97600, 0.55143614
509.99100, 0.55136478
510.00600, 0.55129666
510.02100, 0.55123192
510.03600, 0.55117068
510.05101, 0.55111307
510.06601, 0.55105919
510.08101, 0.55100913
510.09601, 0.55096295
510.11101, 0.55092071
510.12601, 0.55088245
510.14101, 0.55084819
510.15602, 0.55081794
510.17102, 0.55079168
510.18602, 0.55076938
510.20102, 0.55075100
510.21602, 0.55073648
510.23102, 0.55072573
510.24602, 0.55071867
510.26103, 0.55071517
510.27603, 0.55071512
510.29103, 0.55071837
510.30603, 0.55072477
510.32103, 0.55073415
510.33603, 0.55074633
510.35104, 0.55076111
510.36604, 0.55077830
510.38104, 0.55079766
510.39604, 0.55081899
510.41104, 0.55084204
510.42604, 0.55086657
510.44104, 0.55089234
510.45605, 0.55091908
