wavelength [nm], relative intensity
680.86086, 0.01880301
681.08108, 0.01408303
681.30130, 0.00918571
681.52152, 0.00505080
681.74174, 0.00230850
681.96196, 0.00087213
682.18218, 0.00027175
682.40240, 0.00006978
682.62262, 0.00001476
682.84284, 0.00000257
683.06306, 0.00000037
683.28328, 0.00000004
683.50350, 0.00000000
683.72372, 0.00000000
683.94394, 0.00000000
684.16416, 0.00000000
684.38438, 0.00000000
684.60460, 0.00000000
684.82482, 0.00000000
685.04505, 0.00000000
685.26527, 0.00000000
685.48549, 0.00000000
685.70571, 0.00000000
685.92593, 0.00000000
686.14615, 0.00000001
686.36637, 0.00000009
686.58659, 0.00000088
686.80681, 0.00000676
687.02703, 0.00004285
687.24725, 0.00022363
687.46747, 0.00096125
687.68769, 0.00340330
687.90791, 0.00992501
688.12813, 0.02384245
688.34835, 0.04718775
688.56857, 0.07697746
688.78879, 0.10363728
689.00901, 0.11557861
689.22923, 0.10786003
689.44945, 0.08650694
689.66967, 0.06335133
689.88989, 0.04665610
690.11011, 0.03683837
690.33033, 0.02978049
690.55055, 0.02234298
690.77077, 0.01452592
690.99099, 0.00792884
691.21121, 0.00358934
691.43143, 0.00134161
691.65165, 0.00041339
691.87187, 0.00010495
692.09209, 0.00002195
692.31231, 0.00000378
692.53253, 0.00000054
692.75275, 0.00000006
692.97297, 0.00000001
693.19319, 0.00000000
693.41341, 0.00000000
693.63363, 0.00000000
693.85385, 0.00000000
694.07407, 0.00000000
694.29429, 0.00000000
694.51451, 0.00000000
694.73473, 0.00000000
694.95495, 0.00000000
695.17518, 0.00000000
695.39540, 0.00000000
695.61562, 0.00000001
695.83584, 0.00000013
696.05606, 0.00000129
696.27628, 0.00001077
696.49650, 0.00007390
696.71672, 0.00041755
696.93694, 0.00194317
697.15716, 0.00744849
697.37738, 0.02351680
697.59760, 0.06115644
697.81782, 0.13099745
698.03804, 0.23112643
698.25826, 0.33591714
698.47848, 0.40225628
698.69870, 0.39714490
698.91892, 0.32393818
699.13914, 0.21967362
699.35936, 0.12618777
699.57958, 0.06457142
699.79980, 0.03265476
700.02002, 0.01823201
700.24024, 0.01108984
700.46046, 0.00652749
700.68068, 0.00338181
700.90090, 0.00147718
701.12112, 0.00053557
701.34134, 0.00016034
701.56156, 0.00003957
701.78178, 0.00000805
702.00200, 0.00000135
702.22222, 0.00000019
702.44244, 0.00000002
702.66266, 0.00000000
702.88288, 0.00000000
703.10310, 0.00000000
703.32332, 0.00000000
703.54354, 0.00000000
703.76376, 0.00000000
703.98398, 0.00000000
704.20420, 0.00000000
704.42442, 0.00000000
704.64464, 0.00000000
704.86486, 0.00000000
705.08509, 0.00000000
705.30531, 0.00000000
705.52553, 0.00000003
705.74575, 0.00000035
705.96597, 0.00000309
706.18619, 0.00002263
706.40641, 0.00013632
706.62663, 0.00067636
706.84685, 0.00276413
707.06707, 0.00930451
707.28729, 0.02579767
707.50751, 0.05891414
707.72773, 0.11081812
707.94795, 0.17169363
708.16817, 0.21910374
708.38839, 0.23030199
708.60861, 0.19938760
708.82883, 0.14218443
709.04905, 0.08351461
709.26927, 0.04040544
709.48949, 0.01610348
709.70971, 0.00528840
709.92993, 0.00143241
710.15015, 0.00032103
710.37037, 0.00006018
710.59059, 0.00000976
710.81081, 0.00000150
711.03103, 0.00000025
711.25125, 0.00000005
711.47147, 0.00000001
711.69169, 0.00000000
711.91191, 0.00000000
712.13213, 0.00000000
712.35235, 0.00000000
712.57257, 0.00000000
712.79279, 0.00000000
713.01301, 0.00000000
713.23323, 0.00000000
713.45345, 0.00000000
713.67367, 0.00000000
713.89389, 0.00000000
714.11411, 0.00000000
714.33433, 0.00000000
714.55455, 0.00000000
714.77477, 0.00000000
714.99499, 0.00000000
715.21522, 0.00000000
715.43544, 0.00000000
715.65566, 0.00000000
715.87588, 0.00000000
716.09610, 0.00000000
716.31632, 0.00000002
716.53654, 0.00000013
716.75676, 0.00000056
716.97698, 0.00000198
717.19720, 0.00000580
717.41742, 0.00001408
717.63764, 0.00002859
717.85786, 0.00005067
718.07808, 0.00008812
718.29830, 0.00018047
718.51852, 0.00044864
718.73874, 0.00113928
718.95896, 0.00257170
719.17918, 0.00488873
719.39940, 0.00770110
719.61962, 0.01000846
719.83984, 0.01071820
720.06006, 0.00945539
720.28028, 0.00687072
720.50050, 0.00411226
720.72072, 0.00202727
720.94094, 0.00082318
721.16116, 0.00027532
721.38138, 0.00007584
721.60160, 0.00001721
721.82182, 0.00000322
722.04204, 0.00000050
722.26226, 0.00000006
722.48248, 0.00000001
722.70270, 0.00000000
722.92292, 0.00000000
723.14314, 0.00000000
723.36336, 0.00000000
723.58358, 0.00000000
723.80380, 0.00000000
724.02402, 0.00000000
724.24424, 0.00000000
724.46446, 0.00000000
724.68468, 0.00000000
724.90490, 0.00000000
725.12513, 0.00000000
725.34535, 0.00000000
725.56557, 0.00000001
725.78579, 0.00000010
726.00601, 0.00000094
726.22623, 0.00000760
726.44645, 0.00005077
726.66667, 0.00027933
726.88689, 0.00126596
727.10711, 0.00472578
727.32733, 0.01453041
727.54755, 0.03679892
727.76777, 0.07676190
727.98799, 0.13189051
728.20821, 0.18666128
728.42843, 0.21763714
728.64865, 0.20917983
728.86887, 0.16616104
729.08909, 0.11023050
729.30931, 0.06358744
729.52953, 0.03624971
729.74975, 0.02549446
729.96997, 0.02293330
730.19019, 0.02131818
730.41041, 0.01753848
730.63063, 0.01210901
730.85085, 0.00691791
731.07107, 0.00325894
731.29129, 0.00126488
731.51151, 0.00040439
731.73173, 0.00010649
731.95195, 0.00002310
732.17217, 0.00000413
732.39239, 0.00000061
732.61261, 0.00000007
732.83283, 0.00000001
733.05305, 0.00000000
733.27327, 0.00000000
733.49349, 0.00000000
733.71371, 0.00000000
733.93393, 0.00000000
734.15415, 0.00000000
734.37437, 0.00000000
734.59459, 0.00000000
734.81481, 0.00000000
735.03504, 0.00000000
735.25526, 0.00000000
735.47548, 0.00000000
735.69570, 0.00000000
735.91592, 0.00000001
736.13614, 0.00000008
736.35636, 0.00000079
736.57658, 0.00000671
736.79680, 0.00004718
737.01702, 0.00027309
737.23724, 0.00130186
737.45746, 0.00511187
737.67768, 0.01653288
737.89790, 0.04404222
738.11812, 0.09663670
738.33834, 0.17464961
738.55856, 0.25998433
738.77878, 0.31877737
738.99900, 0.32197300
739.21922, 0.26796942
739.43944, 0.18405073
739.65966, 0.10503881
739.87988, 0.05133245
740.10010, 0.02407168
740.32032, 0.01400331
740.54054, 0.01130223
740.76076, 0.00996474
740.98098, 0.00787607
741.20120, 0.00523118
741.42142, 0.00287454
741.64164, 0.00130229
741.86186, 0.00048606
742.08208, 0.00014943
742.30230, 0.00003784
742.52252, 0.00000789
742.74274, 0.00000136
742.96296, 0.00000019
743.18318, 0.00000002
743.40340, 0.00000000
743.62362, 0.00000000
743.84384, 0.00000000
744.06406, 0.00000000
744.28428, 0.00000000
744.50450, 0.00000000
744.72472, 0.00000000
744.94494, 0.00000000
745.16517, 0.00000000
745.38539, 0.00000000
745.60561, 0.00000000
745.82583, 0.00000000
746.04605, 0.00000000
746.26627, 0.00000000
746.48649, 0.00000000
746.70671, 0.00000001
746.92693, 0.00000009
747.14715, 0.00000077
747.36737, 0.00000572
747.58759, 0.00003510
747.80781, 0.00017724
748.02803, 0.00073724
748.24825, 0.00252592
748.46847, 0.00712823
748.68869, 0.01656894
748.90891, 0.03172199
749.12913, 0.05002396
749.34935, 0.06497525
749.56957, 0.06951365
749.78979, 0.06125540
750.01001, 0.04446016
750.23023, 0.02657975
750.45045, 0.01308844
750.67067, 0.00530887
750.89089, 0.00177419
751.11111, 0.00048912
751.33133, 0.00011194
751.55155, 0.00002194
751.77177, 0.00000419
751.99199, 0.00000106
752.21221, 0.00000040
752.43243, 0.00000016
752.65265, 0.00000006
752.87287, 0.00000002
753.09309, 0.00000000
753.31331, 0.00000000
753.53353, 0.00000000
753.75375, 0.00000000
753.97397, 0.00000000
754.19419, 0.00000000
754.41441, 0.00000000
754.63463, 0.00000000
754.85485, 0.00000000
755.07508, 0.00000000
755.29530, 0.00000000
755.51552, 0.00000000
755.73574, 0.00000000
755.95596, 0.00000000
756.17618, 0.00000000
756.39640, 0.00000000
756.61662, 0.00000000
756.83684, 0.00000000
757.05706, 0.00000000
757.27728, 0.00000000
757.49750, 0.00000000
757.71772, 0.00000003
757.93794, 0.00000024
758.15816, 0.00000195
758.37838, 0.00001280
758.59860, 0.00006941
758.81882, 0.00030996
759.03904, 0.00114003
759.25926, 0.00345364
759.47948, 0.00861765
759.69970, 0.01771144
759.91992, 0.02998273
760.14014, 0.04180646
760.36036, 0.04801562
760.58058, 0.04543169
760.80080, 0.03544681
761.02102, 0.02292720
761.24124, 0.01266288
761.46146, 0.00687560
761.68168, 0.00527822
761.90190, 0.00634180
762.12212, 0.00824191
762.34234, 0.00938012
762.56256, 0.00889227
762.78278, 0.00695702
763.00300, 0.00448471
763.22322, 0.00238135
763.44344, 0.00104152
763.66366, 0.00037520
763.88388, 0.00011133
764.10410, 0.00002721
764.32432, 0.00000548
764.54454, 0.00000091
764.76476, 0.00000012
764.98498, 0.00000001
765.20521, 0.00000000
765.42543, 0.00000000
