wavelength [nm], relative intensity
665.66567, 0.00000000
665.88589, 0.00000000
666.10611, 0.00000000
666.32633, 0.00000000
666.54655, 0.00000000
666.76677, 0.00000000
666.98699, 0.00000000
667.20721, 0.00000000
667.42743, 0.00000000
667.64765, 0.00000005
667.86787, 0.00000054
668.08809, 0.00000486
668.30831, 0.00003626
668.52853, 0.00022265
668.74875, 0.00112622
668.96897, 0.00469220
669.18919, 0.01610209
669.40941, 0.04551346
669.62963, 0.10596189
669.84985, 0.20319436
670.07007, 0.32094145
670.29029, 0.41753429
670.51051, 0.44741512
670.73073, 0.39489474
670.95095, 0.28708084
671.17117, 0.17190134
671.39139, 0.08478255
671.61161, 0.03444180
671.83183, 0.01152438
672.05205, 0.00317615
672.27227, 0.00072100
672.49249, 0.00013481
672.71271, 0.00002076
672.93293, 0.00000263
673.15315, 0.00000028
673.37337, 0.00000002
673.59359, 0.00000000
673.81381, 0.00000000
674.03403, 0.00000000
674.25425, 0.00000000
674.47447, 0.00000000
674.69469, 0.00000000
674.91491, 0.00000000
675.13514, 0.00000000
675.35536, 0.00000000
675.57558, 0.00000000
675.79580, 0.00000000
676.01602, 0.00000000
676.23624, 0.00000000
676.45646, 0.00000000
676.67668, 0.00000000
676.89690, 0.00000001
677.11712, 0.00000014
677.33734, 0.00000116
677.55756, 0.00000808
677.77778, 0.00004630
677.99800, 0.00021867
678.21822, 0.00085057
678.43844, 0.00272509
678.65866, 0.00719123
678.87888, 0.01563067
679.09910, 0.02798363
679.31932, 0.04126509
679.53954, 0.05012031
679.75976, 0.05014144
679.97998, 0.04131731
680.20020, 0.02804268
680.42042, 0.01567686
680.64064, 0.00721857
680.86086, 0.00273776
681.08108, 0.00085525
681.30130, 0.00022006
681.52152, 0.00004664
681.74174, 0.00000814
681.96196, 0.00000117
682.18218, 0.00000014
682.40240, 0.00000001
682.62262, 0.00000000
682.84284, 0.00000000
683.06306, 0.00000000
683.28328, 0.00000000
683.50350, 0.00000000
683.72372, 0.00000000
683.94394, 0.00000000
684.16416, 0.00000000
684.38438, 0.00000000
684.60460, 0.00000000
684.82482, 0.00000000
685.04505, 0.00000000
685.26527, 0.00000000
685.48549, 0.00000000
685.70571, 0.00000000
685.92593, 0.00000000
686.14615, 0.00000001
686.36637, 0.00000010
686.58659, 0.00000089
686.80681, 0.00000683
687.02703, 0.00004324
687.24725, 0.00022566
687.46747, 0.00096999
687.68769, 0.00343420
687.90791, 0.01001465
688.12813, 0.02405464
688.34835, 0.04758979
688.56857, 0.07754985
688.78879, 0.10408792
689.00901, 0.11507258
689.22923, 0.10478414
689.44945, 0.07859075
689.66967, 0.04855115
689.88989, 0.02470471
690.11011, 0.01035409
690.33033, 0.00357435
690.55055, 0.00101633
690.77077, 0.00023802
690.99099, 0.00004592
691.21121, 0.00000730
691.43143, 0.00000095
691.65165, 0.00000010
691.87187, 0.00000001
692.09209, 0.00000000
692.31231, 0.00000000
692.53253, 0.00000000
692.75275, 0.00000000
692.97297, 0.00000000
693.19319, 0.00000000
693.41341, 0.00000000
693.63363, 0.00000000
693.85385, 0.00000000
694.07407, 0.00000000
694.29429, 0.00000000
694.51451, 0.00000000
694.73473, 0.00000000
694.95495, 0.00000000
695.17518, 0.00000000
695.39540, 0.00000000
695.61562, 0.00000001
695.83584, 0.00000013
696.05606, 0.00000131
696.27628, 0.00001087
696.49650, 0.00007457
696.71672, 0.00042135
696.93694, 0.00196086
